,Name,Finished,Multiple,Phone pickups,Screen time,Date,Drink,Meditation,Mentality,Satisfaction,Reading,Productivity,Rise time,Run,Social,Tech,Total,Tot To-do,Work done %,Key_words
0,9/17 Sunday,8,7.0,56,390,2020-09-17,0.0,,0.0,0.0,0.0,0.0,,1.24,0.0,0.0,0.7516,9,0.222,0
1,9/18 Monday,11,3.0,125,211,2020-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.683,13,0.212,0
2,9/22 Process (T),13,5.0,57,271,2020-09-22,0.0,7.0,0.0,0.0,0.0,0.0,25.0,1.53,0.0,0.0,0.7855,15,0.238,0
3,23-Sep,16,4.0,102,223,2020-09-23,0.0,10.0,0.0,0.0,0.0,0.0,30.0,,0.0,0.0,0.7634,17,0.259,0
4,TH 9/25 Joggle Notion(Equations) and Piano ,11,4.0,80,309,2020-09-24,0.0,6.0,0.0,0.0,0.0,0.0,90.0,,0.0,0.0,0.6629,15,0.201,0
5,F 9/25 Love yourself,13,5.0,97,252,2020-09-25,0.0,13.0,0.0,0.0,0.0,0.0,30.0,,0.0,0.0,0.7474,14,0.232,0
6,St 9/26 Good for Sat,11,4.0,51,237,2020-09-26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.764,12,0.229,0
7,Sn 9/27 ,6,4.0,60,338,2020-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.658,9,0.167,0
8,M 9/28 ,9,5.0,82,257,2020-09-28,0.0,10.0,0.0,0.0,0.0,0.0,-30.0,,0.0,0.0,0.7326,11,0.205,0
9,9/29 How small are we?,6,5.0,123,326,2020-09-29,0.0,10.0,0.0,0.0,0.0,0.0,120.0,,0.0,0.0,0.557,11,0.136,0
10,10/1 Fall,7,3.0,50,496,2020-10-01,0.0,0.0,0.0,0.0,,0.0,180.0,,0.0,0.0,0.4347,12,0.146,0
11,F 10/2 V shaped curve. Let's keep going,11,4.0,74,262,2020-10-02,0.0,10.0,0.0,0.0,,0.0,36.0,,0.0,0.0,0.7549,12,0.229,0
12,S 10/3 ,9,3.0,86,405,2020-10-03,0.0,7.0,0.0,0.0,,0.0,60.0,,0.0,0.0,0.6157,13,0.173,0
13,Sn 10/4 Master the Week,16,5.0,59,304,2020-10-04,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.762,16,0.275,0
14,M 10/5 Glossophobia,13,3.0,74,455,2020-10-05,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.662,14,0.232,0
15,10/6 T Proud of my achievements today,12,4.0,83,397,2020-10-06,0.0,8.0,0.0,0.0,,0.0,0.0,0.64,0.0,0.0,0.6915,16,0.206,0
16,10/7 W Need for Smart Learning,9,5.0,103,225,2020-10-07,0.0,8.0,0.0,0.0,,0.0,-15.0,1.11,0.0,0.0,0.698,14,0.161,0
17,10/8 (Th) Beer with Mike,7,4.0,101,330,2020-10-08,0.0,0.0,0.0,0.0,,0.0,120.0,,0.0,0.0,0.542,11,0.159,0
18,10/9 (F) Fuck,0,1.0,100,500,2020-10-09,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.36,0,0.0,0
19,10/10 (S) Learn from my failure,7,4.0,59,477,2020-10-10,0.0,0.0,0.0,0.0,,0.0,180.0,,0.0,0.0,0.4257,14,0.125,0
20,10/11 (Sn) Fucking math problems,8,3.0,53,374,2020-10-11,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.617,16,0.137,0
21,10/12 (M) Improved effort,11,4.0,103,285,2020-10-12,0.0,10.0,0.0,0.0,,0.0,30.0,,0.0,0.0,0.7144,13,0.212,0
22,10/13 (T) Oh captain   my captain!,14,4.0,110,332,2020-10-13,0.0,5.0,0.0,0.0,,0.0,-60.0,,0.0,0.0,0.7273,14,0.25,0
23,10/14 (W) dying candle,12,3.0,131,441,2020-10-14,0.0,5.0,0.0,0.0,,0.0,90.0,,0.0,0.0,0.6259,12,0.25,0
24,10/15 (Th) Final send-off,15,3.0,114,441,2020-10-15,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.666,16,0.258,0
25,10/16 (F) Time to spend some alone time,10,4.0,86,213,2020-10-16,0.0,7.0,0.0,0.0,,0.0,240.0,,0.0,0.0,0.4999,12,0.208,0
26,10/17 (St) Pat on the back (Mathematician),7,4.0,59,480,2020-10-17,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.587,11,0.159,0
27,10/18 (S) When two egos collide,9,4.0,84,294,2020-10-18,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.649,12,0.188,0
28,10/19 (M) proud of myself,8,3.0,120,428,2020-10-19,0.0,10.0,0.0,0.0,10.0,0.0,45.0,,0.0,0.0,0.665,9,0.222,0
29,10/21 (W) Knock out,7,3.0,91,260,2020-10-21,0.0,10.0,0.0,0.0,25.0,0.0,90.0,,0.0,0.0,0.6849,9,0.194,0
30,10/22 (Th) Valley of Disappointment,7,4.0,76,206,2020-10-22,0.0,10.0,0.0,0.0,32.0,0.0,-60.0,,0.0,0.0,0.7713,9,0.194,0
31,10/23 (F) The day I failed my test lol,13,5.0,76,156,2020-10-23,0.0,10.0,0.0,0.0,20.0,0.0,10.0,,0.0,0.0,0.8306,13,0.25,0
32,10/24 (S) Rest,5,2.0,65,499,2020-10-24,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.507,11,0.114,0
33,10/25 (Sn) New Goals,8,4.0,64,338,2020-10-25,0.0,5.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.707,10,0.2,0
34,10/26 (M) Mean and Cold,10,4.0,89,346,2020-10-26,0.0,10.0,0.0,0.0,32.0,0.0,90.0,,0.0,0.0,0.6929,12,0.208,0
35,10/27 (T) Got those bastards!,11,5.0,85,264,2020-10-27,0.0,5.0,0.0,0.0,35.0,0.0,60.0,,0.0,0.0,0.7637,11,0.25,0
36,10/28 (W) Normal,9,4.0,102,363,2020-10-28,0.0,10.0,0.0,0.0,100.0,0.0,30.0,,0.0,0.0,0.7264,12,0.188,0
37,10/29 (Th) Shit,2,3.0,98,175,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,0.0,0.0,0.4977,7,0.071,0
38,10/30 (F) Shit,0,1.0,72,568,2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,300.0,,0.0,0.0,-0.0264,0,0.0,0
39,10/31 (S) Shit,3,3.0,53,240,2020-10-31,0.0,0.0,0.0,0.0,,0.0,120.0,,0.0,0.0,0.533,7,0.107,0
40,***11/1 (Sn) McGregor Mentality***,7,2.0,88,740,2020-11-01,,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.489,10,0.175,0
41,11/2 (M) About Time: as if it was my last,11,4.0,76,180,2020-11-02,,10.0,0.0,0.0,0.0,0.0,200.0,,0.0,0.0,0.6136,11,0.25,0
42,11/3 (T) Own the morning own the day (Fucked up morning),10,3.0,121,313,2020-11-03,,0.0,0.0,0.0,60.0,0.0,300.0,,0.0,0.0,0.2886,13,0.192,0
43,11/4 (W) My mindset changed the outcome of the day,17,4.0,93,315,2020-11-04,,10.0,0.0,0.0,30.0,0.0,150.0,,0.0,0.0,0.6919,18,0.259,0
44,11/05 (Th) Is there such a thing as genuine friendship? ,16,4.0,118,185,2020-11-05,,10.0,0.0,0.0,37.0,0.0,30.0,,0.0,0.0,0.7994,17,0.259,0
45,11/06 (F) Mind Vacation,16,4.0,116,198,2020-11-06,1.0,10.0,0.0,0.0,10.0,0.0,150.0,,0.0,0.0,0.6829,16,0.275,0
46,11/8 (S) Day with a lot of unsolved 'problems.' (Relationship),9,4.0,67,159,2020-11-07,,0.0,0.0,0.0,0.1,0.0,,,0.0,0.0,0.653,17,0.145,0
47,***11/8 (S) Change of Fucking Plans***,14,4.0,56,155,2020-11-08,,10.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,0.828,14,0.25,0
48,11/9 (M) Squeeze the last bit of it,17,5.0,67,94,2020-11-09,,15.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.912,17,0.275,0
49,11/10 (T) Realizations about myself,14,4.0,113,152,2020-11-10,1.0,15.0,0.0,0.0,32.0,0.0,-15.0,,0.0,0.0,0.7929,16,0.24,0
50,11/11 (W) Useless piece of shit,7,3.0,80,280,2020-11-11,0.0,10.0,0.0,0.0,0.0,0.0,180.0,,0.0,0.0,0.4867,13,0.135,0
51,11/12 (Th) Mediocre,11,4.0,98,105,2020-11-12,0.0,15.0,0.0,0.0,0.0,0.0,90.0,,0.0,0.0,0.7519,12,0.229,0
52,11/13 (F) A Breakthrough (Glossophobia),14,5.0,95,160,2020-11-13,0.0,15.0,0.0,0.0,0.0,0.0,36.0,,0.0,0.0,0.7989,14,0.25,0
53,11/14 (St) Get out of my life.,6,3.0,82,290,2020-11-14,1.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.625,10,0.15,0
54,11/15 (Sn) Start the engine,10,3.0,58,331,2020-11-15,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.736,11,0.227,0
55,11/16 (M) I always figure it out,13,4.0,100,209,2020-11-16,0.0,10.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,0.7273,14,0.232,0
56,11/17 (W) Drink with Squritle,7,3.0,113,88,2020-11-17,1.0,15.0,0.0,0.0,0.0,0.0,40.0,,0.0,0.0,0.6617,11,0.159,0
57,11/18 (W) Lonely Day,9,3.0,99,136,2020-11-18,0.0,10.0,0.0,0.0,0.0,0.0,120.0,,0.0,0.0,0.655,11,0.205,0
58,11/19 (T) Harder I work the more I want to drink beer?,15,5.0,101,196,2020-11-19,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.788,15,0.275,0
59,11/20 (F) (;,14,4.0,139,14,2020-11-20,0.0,10.0,0.0,0.0,0.0,0.0,157.0,,0.0,0.0,0.6774,14,0.25,0
60,11/21 (St) Alcohol is the core of all problems ,11,3.0,89,404,2020-11-21,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.654,13,0.212,0
61,11/22 (S) Dizzy day,9,2.0,60,331,2020-11-22,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.701,11,0.205,0
62,11/23 (M) Too soon to relax,7,3.0,119,161,2020-11-23,1.0,0.0,0.0,0.0,0.0,0.0,80.0,,0.0,0.0,0.5357,11,0.159,0
63,11/24 (T) The Start Up,9,3.0,97,207,2020-11-24,0.0,15.0,0.0,0.0,0.0,0.0,120.0,,0.0,0.0,0.685,10,0.225,0
64,11/25 (W) Fall Break,4,3.0,107,201,2020-11-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,10,0.1,0
65,11/26 (Th) Fall Break,6,2.0,96,387,2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.525,10,0.15,0
66,11/27 (F) She is a friend,9,3.0,161,389,2020-11-27,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.548,13,0.173,0
67,11/28 (St) Fall Break,7,2.0,63,604,2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.473,13,0.135,0
68,11/29 (S) ***Train the Brain***,16,4.0,60,152,2020-11-29,0.0,15.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.868,17,0.259,0
69,11/30 (M) Let the week begin,17,5.0,124,198,2020-11-30,0.0,15.0,0.0,0.0,25.0,0.0,8.0,,0.0,0.0,0.8447,17,0.275,0
70,12/1 (T) Sibal ,15,4.0,108,210,2020-12-01,0.0,15.0,0.0,0.0,0.0,0.0,120.0,,0.0,0.0,0.706,17,0.242,0
71,12/2 (W) Face the problem right way,16,4.0,94,228,2020-12-02,0.0,15.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,0.843,16,0.275,0
72,12/3 (Th) Control the Elephant,16,4.0,90,443,2020-12-03,0.0,15.0,0.0,0.0,25.0,0.0,70.0,,0.0,0.0,0.7696,16,0.275,0
73,12/4 (F) ***Mute others and Focus on what matters***,12,3.0,69,420,2020-12-04,0.0,15.0,0.0,0.0,0.0,0.0,180.0,,0.0,0.0,0.5697,15,0.22,0
74,12/5 (St) Happy thoughts and Increased focus,13,4.0,56,412,2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.64,16,0.223,0
75,12/6 (S) Final review for the last soak,12,4.0,46,322,2020-12-06,0.0,0.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.709,14,0.214,0
76,12/7 (M) Restful day,7,2.0,68,209,2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,180.0,,0.0,0.0,0.4367,14,0.125,0
77,12/8 (T) ***I am attracted to challenges***,16,4.0,96,133,2020-12-08,0.0,15.0,0.0,0.0,30.0,0.0,-8.0,,0.0,0.0,0.8723,16,0.275,0
78,12/9 (W) Its a warzone now,14,4.0,102,198,2020-12-09,0.0,15.0,0.0,0.0,25.0,0.0,100.0,,0.0,0.0,0.7824,14,0.25,0
79,12/10 (Th) Late start but not too shabby,14,5.0,130,240,2020-12-10,0.0,15.0,0.0,0.0,15.0,0.0,180.0,,0.0,0.0,0.6707,14,0.25,0
80,12/11 (F) DE Finals (Almost done) (feel like Im going to die),9,5.0,83,304,2020-12-11,0.0,15.0,0.0,0.0,0.0,0.0,-80.0,,0.0,0.0,0.7743,10,0.225,0
81,12/12 (St) Hold my beer,10,5.0,49,295,2020-12-12,0.0,15.0,0.0,0.0,0.0,0.0,120.0,,0.0,0.0,0.742,10,0.25,0
82,12/14 (S) played mobile games for 5+ hours,9,1.0,55,525,2020-12-13,0.0,15.0,0.0,0.0,0.0,0.0,110.0,,0.0,0.0,0.6121,10,0.225,0
83,12/14 (M),5,1.0,75,50,2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,180.0,,0.0,0.0,0.4627,10,0.125,0
