Entity,Year,Unsafe water source,Unsafe sanitation,No access to handwashing facility,Household air pollution from solid fuels,Non-exclusive breastfeeding,Discontinued breastfeeding,Child wasting,Child stunting,Low birth weight for gestation,Secondhand smoke,Alcohol use,Drug use,Diet low in fruits,Diet low in vegetables,Unsafe sex,Low physical activity,High fasting plasma glucose,High total cholesterol,High body-mass index,High systolic blood pressure,Smoking,Iron deficiency,Vitamin A deficiency,Low bone mineral density,Air pollution,Outdoor air pollution,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
Afghanistan,1990,7554.049543,5887.747628,5412.314513,22388.49723,3221.138842,156.0975526,22778.84925,10408.43885,12168.56463,4234.808095,356.5293069,208.3254296,8538.964137,7678.717644,387.1675823,4221.303183,21610.06616,9505.531962,7701.58128,28183.98335,6393.667372,726.4312942,9344.131952,374.8440561,26598.00673,4383.83,2737.197934,11381.37735,7299.86733
Afghanistan,1991,7359.676749,5732.77016,5287.891103,22128.75821,3150.559597,151.5398506,22292.69111,10271.97643,12360.63537,4219.597324,320.5984612,217.7696908,8642.847151,7789.773033,394.4482851,4252.630379,21824.93804,,7747.774903,28435.39751,6429.25332,739.2457995,9330.182378,379.8542372,26379.53222,4426.36,2741.184956,11487.83239,7386.764303
Afghanistan,1992,7650.437822,5954.804987,5506.657363,22873.76879,3331.349048,156.6091937,23102.19794,10618.87978,13459.59372,4371.907968,293.2570162,247.8332513,8961.526496,8083.234634,422.4533018,4347.330897,22418.69881,,7991.018971,29173.6112,6561.054957,873.4853406,9769.844533,388.1304337,27263.12791,4568.91,2798.560245,11866.23557,7640.628526
Afghanistan,1993,10270.73138,7986.736613,7104.620351,25599.75628,4477.0061,206.8344513,27902.66996,12260.09384,18458.42913,4863.558517,278.1297583,285.0361812,9377.118485,8452.242405,448.3283172,4465.13767,23140.51117,,8281.564408,30074.76091,6731.97256,1040.047422,11433.76949,405.5779314,30495.5615,5080.29,2853.301679,12335.96168,7968.311853
Afghanistan,1994,11409.17711,8863.010065,8051.515953,28013.1672,5102.622054,233.9305709,32929.00593,14197.94796,19958.38854,5292.379854,250.6915691,306.6467956,9688.448554,8755.372045,464.506355,4566.650504,23725.07008,,8472.29778,30809.49117,6889.328118,1101.764645,12936.95586,415.3491952,33323.1614,5499.23,2880.025765,12672.95019,8244.36843
Afghanistan,1995,12676.64742,9840.84868,8770.686294,29062.61879,5402.660379,262.7933398,35631.99703,15243.02091,20444.7094,5491.01751,220.1990677,324.6102725,9876.716707,8908.990726,476.4244983,4613.790132,23993.94063,14674.80439,8538.883811,31152.18129,6946.955866,1140.246165,13696.75713,422.8541788,34511.84528,5641.29,2892.221692,12854.59268,8375.861883
Afghanistan,1996,12154.94232,9426.896445,8610.686857,29407.3216,5263.644458,253.6681808,36114.59323,16009.91844,21072.04331,5595.951368,197.9283761,342.8511536,10102.4152,9087.022484,486.5524934,4668.633488,24326.44894,,8614.898052,31554.00026,7040.420959,1182.51506,14563.5631,428.7465555,34952.10158,5739.07,2905.798225,13089.15728,8537.651676
Afghanistan,1997,12329.13171,9553.555998,8722.943079,29674.39831,5271.7718,258.1341459,36749.11745,16473.89791,21262.69253,5701.811908,181.6741302,361.9349284,10330.18138,9258.226837,497.5519907,4720.93407,24653.39276,,8661.863189,31957.26138,7155.470207,1225.451979,15089.52617,424.0398939,35306.56659,5828.94,2919.683894,13326.50038,8694.523034
Afghanistan,1998,12133.60954,9390.04203,8621.884918,29807.45321,5165.923779,254.708078,36569.46557,16665.71267,21214.16393,5762.014505,203.5203151,379.1053194,10522.6635,9390.134086,506.9434718,4759.521117,24905.21145,,8675.355271,32267.85275,7266.191855,1260.312277,15385.66308,420.4112405,35360.16887,5751.54,2925.391235,13516.54757,8818.249272
Afghanistan,1999,11990.39633,9268.489611,8502.72999,29484.61222,5044.307573,251.898824,36124.04656,16729.53896,20972.04401,5774.819639,170.0058845,388.7336028,10639.18267,9442.087329,513.4678292,4793.342763,25043.20522,,8659.272512,32476.06208,7356.558353,1231.417776,15646.04186,411.5796425,35040.34951,5756.43,2936.213764,13584.23943,8867.619444
Afghanistan,2000,11121.65328,8588.517136,7910.366272,28329.38009,4566.918647,235.1014722,34320.3646,16400.03695,19140.90536,5641.046971,167.5068441,401.6297995,10723.72845,9452.457676,530.2883847,4829.991215,25116.07941,17654.14977,8669.564811,32603.11022,7409.526289,1203.01923,15582.31592,405.8075095,33714.05609,5587.68,2928.850878,13621.07696,8869.121379
Afghanistan,2001,10431.36444,8046.884118,7501.548129,27721.64126,4219.420003,220.5293275,32430.50689,15848.94208,19273.2247,5600.963935,169.7843748,418.0689686,10859.43893,9508.023046,543.743234,4878.335556,25350.86558,,8891.945837,32800.16497,7516.431973,1201.408745,15256.83164,401.9912114,33084.89881,5569.97,2924.407671,13729.21838,8920.552739
